91	1	2	20	1	1	1	0	0	0	0	0	0	0	0	1	2	2	0	0	1	0	5	2	3	1	3	4	3	1	1	1	4	4	4	3	4	2	2	3	1	2	3	3	3	1	4	2	2	2	3	1	1	4	3	3	4	1	3	4	1	2	4	3	4	1	4	1	1	3	3	3	4	3	2	4	4	3	4	2	1	2
96	2	2	71	4	2	0	1	1	1	1	1	0	1	1	5	3	1	1	0	0	0	3	3	3	3	4	3	3	3	3	3	3	3	3	3	4	3	3	3	3	5	3	3	3	3	3	3	3	3	3	4	5	5	3	2	5	2	3	3	2	2	2	2	3	3	3	5	4	3	2	5	2	3	3	2	2	3	3	3	3	3
98	3	2	33	2	2	-999	-999	1	0	0	0	1	0	1	-999	2	2	1	0	1	0	4	4	4	4	4	2	2	2	2	2	4	4	4	2	4	3	3	3	3	3	2	2	2	2	2	3	3	4	2	4	2	2	2	2	2	4	4	4	4	4	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	4	4	2	4
100	2	2	53	3	2	-999	-999	1	0	0	1	0	0	1	-999	2	4	1	0	0	0	3	3	3	3	3	1	1	1	1	1	1	1	1	1	2	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	1	3	1	1	1	3	3	3	3	4	3	3	3	3	3	1	3	1	1	1	3	3	3	3	4
101	3	2	56	3	2	-999	-999	1	0	0	1	1	0	1	2	2	2	1	1	1	1	3	5	3	3	3	1	1	3	3	3	3	3	3	3	3	3	5	3	3	3	1	1	3	3	3	3	3	3	3	3	3	5	3	3	3	1	3	3	3	3	3	3	3	3	3	3	5	3	3	3	1	3	3	3	3	3	3	3	3	3
104	3	2	49	3	1	-999	-999	1	0	0	0	1	0	1	-999	3	4	1	1	1	0	3	5	3	2	2	5	3	5	5	5	2	2	2	2	2	3	3	3	3	3	2	3	3	3	3	5	5	5	5	5	2	5	3	3	1	5	3	5	5	5	3	1	1	3	3	3	3	3	3	5	3	3	3	1	1	3	4	5	3	3
105	2	2	21	1	2	0	0	1	0	0	1	0	0	1	3	3	2	0	0	1	1	3	4	3	3	4	3	1	3	1	1	4	4	4	3	4	3	3	3	3	4	3	1	3	1	1	4	4	4	3	4	3	3	3	3	4	3	1	1	1	1	1	4	4	4	4	3	3	3	3	4	3	1	1	1	1	1	4	4	4	4
106	2	2	24	1	2	0	0	1	0	0	1	0	0	1	2	3	2	1	1	1	1	5	3	4	3	5	1	2	2	1	1	3	4	4	1	4	2	3	2	1	5	3	2	2	1	1	3	4	4	1	2	5	4	4	4	4	1	1	1	1	1	4	4	4	1	4	2	2	2	2	3	1	1	1	1	1	3	4	4	1	2
107	3	2	25	2	2	0	0	1	0	0	0	1	0	1	-999	3	2	1	0	1	0	5	5	4	4	5	5	2	2	2	2	2	3	5	4	2	3	3	2	1	2	3	2	1	1	1	3	5	2	1	4	4	5	3	3	4	2	2	2	2	3	3	4	4	4	3	2	3	3	2	2	1	1	2	2	1	2	2	3	3	4
108	1	2	27	2	2	0	0	1	1	0	0	0	1	0	5	3	2	0	0	1	1	5	4	4	5	4	1	1	1	1	1	4	4	5	4	5	3	2	3	4	3	1	2	2	1	1	2	2	2	2	2	5	5	5	5	5	1	1	1	1	1	5	5	5	5	5	2	2	2	2	2	1	1	1	1	1	2	2	2	2	1
109	3	2	27	2	2	0	0	1	0	0	0	1	0	1	4	3	2	1	1	1	1	5	4	5	4	4	1	1	3	1	2	5	3	5	3	3	2	1	1	2	5	5	5	3	4	5	1	3	3	3	3	4	5	4	3	2	3	3	4	4	4	2	3	3	4	3	2	1	3	3	5	3	3	3	2	3	4	4	3	4	3
110	2	2	28	2	2	0	0	1	1	0	1	0	1	1	5	2	2	1	1	0	0	4	4	3	3	3	3	1	3	2	1	3	3	3	3	4	3	2	3	3	3	3	1	3	2	1	3	3	3	3	3	2	5	3	3	3	4	3	4	4	4	2	3	3	3	2	3	3	3	3	3	3	3	2	2	2	4	4	4	3	4
111	3	2	29	2	2	0	0	1	0	0	0	1	0	1	-999	3	2	1	1	1	1	5	5	4	3	4	4	1	4	4	2	3	4	5	4	4	3	3	3	3	2	3	1	2	1	1	3	5	5	5	5	4	4	3	4	5	4	3	4	5	5	1	2	4	4	4	5	5	5	5	4	5	5	5	1	4	5	5	5	5	5
115	2	2	35	2	2	0	0	1	1	0	0	0	1	0	3	2	2	0	0	1	0	5	4	3	3	3	3	2	2	2	1	4	3	3	1	3	3	2	2	2	4	3	2	1	2	1	3	3	2	1	3	2	5	2	2	2	4	2	3	3	2	2	2	3	2	2	4	2	3	3	4	2	2	1	1	1	3	4	5	4	4
116	2	2	35	2	2	0	0	1	1	0	1	0	1	1	-999	3	2	1	1	1	0	5	2	3	4	2	5	1	4	2	4	2	2	4	4	1	3	5	3	3	5	1	3	2	1	1	5	5	5	3	5	1	5	3	3	4	5	4	4	5	5	2	1	1	1	1	3	3	3	3	4	1	3	1	1	2	5	5	5	3	5
117	3	2	37	2	2	0	0	1	1	0	1	1	1	1	-999	3	1	1	0	1	0	5	4	5	5	4	1	1	1	1	1	4	4	5	4	5	1	1	1	1	2	5	4	4	4	4	2	2	1	2	1	4	4	5	4	4	1	1	1	2	2	4	5	5	4	5	2	2	2	2	2	5	5	4	4	4	2	2	1	2	1
119	3	2	39	2	2	0	0	1	0	0	0	1	0	1	2	3	4	0	1	1	0	5	5	2	1	5	2	2	2	1	1	5	5	5	4	5	1	2	2	5	1	2	2	4	5	1	1	1	1	1	3	5	5	5	5	5	2	3	3	3	3	4	4	4	4	4	2	5	3	4	4	3	3	3	3	3	4	4	4	4	4
121	1	2	41	2	2	0	0	1	1	0	1	1	1	1	-999	3	1	1	1	1	0	4	4	3	3	3	1	1	1	1	1	5	4	4	3	4	1	1	3	3	3	5	3	3	3	3	2	4	3	3	2	2	3	2	1	3	3	4	4	3	4	2	1	1	3	1	5	3	2	3	3	1	1	1	1	2	4	5	5	5	5
123	3	2	43	2	2	0	0	1	0	0	0	1	0	1	2	3	2	1	0	1	0	5	4	2	2	4	3	4	4	4	2	2	2	2	2	2	5	2	2	2	3	2	2	2	2	2	4	4	4	2	4	2	5	2	2	2	4	4	4	2	2	2	2	2	2	2	4	2	3	2	2	2	2	2	2	2	4	4	4	3	4
127	2	2	45	3	2	0	0	1	1	0	1	0	1	1	6	3	1	1	1	1	0	4	5	4	4	4	1	1	2	3	2	4	4	4	4	3	3	5	4	3	4	1	3	2	3	3	3	4	4	4	3	2	2	2	2	2	3	5	4	2	5	2	2	2	2	1	4	5	4	4	4	1	2	2	1	1	5	4	5	4	5
